refcat,m2,label,destacar,multipoligono
45155A00100027,8276,00027,si,no
45155A00100029,1661,00029,si,no
45155A00100030,4492,00030,si,no
45155A00100031,2052,00031,si,no
45155A00100032,718,00032,si,no
45155A00100033,1036,00033,si,no
45155A00100034,1020,00034,si,no
45155A00100035,2971,00035,si,no
45155A00100036,1774,00036,si,no
45155A00100037,2120,00037,si,no
45155A00100038,521,00038,si,no
45155A00100039,692,00039,si,no
45155A00100040,765,00040,si,no
45155A00100041,958,00041,si,no
45155A00100046,502,00046,si,no
45155A00100047,791,00047,si,no
45155A00100048,813,00048,si,no
45155A00100049,1974,00049,si,no
45155A00100050,1375,00050,si,no
45155A00100051,572,00051,si,no
45155A00100052,1646,00052,si,no
45155A00100053,1768,00053,si,no
45155A00100054,1603,00054,si,no
45155A00100063,2191,00063,si,no
45155A00100066,690,00066,si,no
45155A00100067,512,00067,si,no
45155A00100068,1016,00068,si,no
45155A00100069,615,00069,si,no
45155A00100070,15047,00070,si,no
45155A00100071,4979,00071,si,no
45155A00100075,3157,00075,si,no
45155A00100076,1016,00076,si,no
45155A00100077,706,00077,si,no
45155A00100078,735,00078,si,no
45155A00100079,3932,00079,si,no
45155A00100080,4992,00080,si,no
45155A00100081,3795,00081,si,no
45155A00100082,2494,00082,si,no
45155A00100083,1778,00083,si,no
45155A00100084,673,00084,si,no
45155A00100085,857,00085,si,no
45155A00100086,1050,00086,si,no
45155A00100087,1316,00087,si,no
45155A00100088,1249,00088,si,no
45155A00100089,1258,00089,si,no
45155A00100090,1000,00090,si,no
45155A00100096,570,00096,si,no
45155A00100097,573,00097,si,no
45155A00100098,3543,00098,si,no
45155A00100099,4598,00099,si,no
45155A00100100,2042,00100,si,no
45155A00100101,4880,00101,si,no
45155A00100102,5201,00102,si,no
45155A00100103,1318,00103,si,no
45155A00100104,997,00104,si,no
45155A00100105,1344,00105,si,no
45155A00100109,3094,00109,si,no
45155A00100111,2140,00111,si,no
45155A00100112,1404,00112,si,no
45155A00100113,2074,00113,si,no
45155A00100114,2590,00114,si,no
45155A00100115,4281,00115,si,no
45155A00100116,2169,00116,si,no
45155A00100117,2285,00117,si,no
45155A00100118,2048,00118,si,no
45155A00100119,1694,00119,si,no
45155A00100120,14068,00120,si,no
45155A00100121,1328,00121,si,no
45155A00100122,7030,00122,si,no
45155A00100123,1459,00123,si,no
45155A00100124,932,00124,si,no
45155A00100125,4311,00125,si,no
45155A00100126,7120,00126,si,no
45155A00100127,713,00127,si,no
45155A00100128,997,00128,si,no
45155A00100129,1455,00129,si,no
45155A00100130,1790,00130,si,no
45155A00100131,2240,00131,si,no
45155A00100132,1403,00132,si,no
45155A00100133,1723,00133,si,no
45155A00100134,1393,00134,si,no
45155A00100135,17425,00135,si,no
45155A00100136,1300,00136,si,no
45155A00100137,1568,00137,si,no
45155A00100138,2503,00138,si,no
45155A00100139,5319,00139,si,no
45155A00100141,522,00141,si,no
45155A00100144,1256,00144,si,no
45155A00100145,992,00145,si,no
45155A00100146,671,00146,si,no
45155A00100147,1889,00147,si,no
45155A00100148,2169,00148,si,no
45155A00100149,2696,00149,si,no
45155A00100150,2011,00150,si,no
45155A00100151,1606,00151,si,no
45155A00100152,685,00152,si,no
45155A00100153,913,00153,si,no
45155A00100154,3005,00154,si,no
45155A00100155,8703,00155,si,no
45155A00100156,3034,00156,si,no
45155A00100157,4930,00157,si,no
45155A00100158,3316,00158,si,no
45155A00100159,3752,00159,si,no
45155A00100160,2311,00160,si,no
45155A00100161,1261,00161,si,no
45155A00100162,1460,00162,si,no
45155A00100163,884,00163,si,no
45155A00100164,754,00164,si,no
45155A00100165,755,00165,si,no
45155A00100166,956,00166,si,no
45155A00100167,5104,00167,si,no
45155A00100170,850,00170,si,no
45155A00100171,2205,00171,si,no
45155A00100172,1183,00172,si,no
45155A00100173,2430,00173,si,no
45155A00100174,12017,00174,si,no
45155A00100176,3313,00176,si,no
45155A00100177,2379,00177,si,no
45155A00100178,1606,00178,si,no
45155A00100179,6068,00179,si,no
45155A00100180,5391,00180,si,no
45155A00100181,2233,00181,si,no
45155A00100182,1056,00182,si,no
45155A00100183,1163,00183,si,no
45155A00100184,1703,00184,si,no
45155A00100185,8039,00185,si,no
45155A00100187,10559,00187,si,no
45155A00100188,2292,00188,si,no
45155A00100189,2159,00189,si,no
45155A00100190,5269,00190,si,no
45155A00100191,3181,00191,si,no
45155A00100192,1223,00192,si,no
45155A00100193,802,00193,si,no
45155A00100194,1904,00194,si,no
45155A00100195,1153,00195,si,no
45155A00100197,1483,00197,si,no
45155A00100198,1719,00198,si,no
45155A00100199,15040,00199,si,no
45155A00100200,8560,00200,si,no
45155A00100201,5422,00201,si,no
45155A00100202,4022,00202,si,no
45155A00100203,12619,00203,si,no
45155A00100204,1256,00204,si,no
45155A00100205,3017,00205,si,no
45155A00100206,1932,00206,si,no
45155A00100207,8555,00207,si,no
45155A00100208,4502,00208,si,no
45155A00100209,2656,00209,si,no
45155A00100210,6599,00210,si,no
45155A00100211,1391,00211,si,no
45155A00100212,12202,00212,si,no
45155A00100213,7985,00213,si,no
45155A00100214,19852,00214,si,no
45155A00100221,3894,00221,si,no
45155A00100222,1514,00222,si,no
45155A00100223,1461,00223,si,no
45155A00100224,3168,00224,si,no
45155A00100225,2199,00225,si,no
45155A00100226,4668,00226,si,no
45155A00100227,564,00227,si,no
45155A00100228,838,00228,si,no
45155A00100230,2405,00230,si,no
45155A00100231,2357,00231,si,no
45155A00100232,10213,00232,si,no
45155A00100233,2048,00233,si,no
45155A00100234,5433,00234,si,no
45155A00100235,4440,00235,si,no
45155A00100236,3716,00236,si,no
45155A00100237,2518,00237,si,no
45155A00100238,4876,00238,si,no
45155A00100239,2620,00239,si,no
45155A00100240,3279,00240,si,no
45155A00100241,4039,00241,si,no
45155A00100242,4175,00242,si,no
45155A00100243,19794,00243,si,no
45155A00100244,2896,00244,si,no
45155A00100245,4453,00245,si,no
45155A00100246,7392,00246,si,no
45155A00100247,9520,00247,si,no
45155A00100248,15249,00248,si,no
45155A00100249,2033,00249,si,no
45155A00100250,6949,00250,si,no
45155A00100251,2261,00251,si,no
45155A00100252,3567,00252,si,no
45155A00100253,2963,00253,si,no
45155A00100254,5337,00254,si,no
45155A00100255,1801,00255,si,no
45155A00100257,4828,00257,si,no
45155A00100259,1103,00259,si,no
45155A00100260,1930,00260,si,no
45155A00100262,1933,00262,si,no
45155A00100264,636,00264,si,no
45155A00100265,2558,00265,si,no
45155A00100266,2123,00266,si,no
45155A00100267,606,00267,si,no
45155A00100268,1067,00268,si,no
45155A00100270,680,00270,si,no
45155A00100272,2423,00272,si,no
45155A00100273,3277,00273,si,no
45155A00100274,4738,00274,si,no
45155A00100275,17910,00275,si,no
45155A00100276,11125,00276,si,no
45155A00100277,3305,00277,si,no
45155A00100278,6251,00278,si,no
45155A00100279,7778,00279,si,no
45155A00100280,12449,00280,si,no
45155A00100281,9945,00281,si,no
45155A00100282,7684,00282,si,no
45155A00100283,1806,00283,si,no
45155A00100284,1618,00284,si,no
45155A00100285,1662,00285,si,no
45155A00100286,1872,00286,si,no
45155A00100287,2656,00287,si,no
45155A00100288,68431,00288,si,no
45155A00100289,1621,00289,si,no
45155A00100290,1991,00290,si,no
45155A00100291,2310,00291,si,no
45155A00100292,9013,00292,si,no
45155A00100293,1003,00293,si,no
45155A00100295,599,00295,si,no
45155A00100299,1385,00299,si,no
45155A00100300,1698,00300,si,no
45155A00100301,2489,00301,si,no
45155A00100302,4182,00302,si,no
45155A00100303,546,00303,si,no
45155A00100304,1886,00304,si,no
45155A00100305,679,00305,si,no
45155A00110271,1557,10271,si,no
45155A00200001,130207,00001,si,no
45155A00200002,12875,00002,si,no
45155A00200003,33083,00003,si,no
45155A00200004,21148,00004,si,no
45155A00200005,26029,00005,si,no
45155A00200006,7559,00006,si,no
45155A00200007,47502,00007,si,no
45155A00200009,38253,00009,si,no
45155A00200010,15697,00010,si,no
45155A00200013,27816,00013,si,no
45155A00200014,27608,00014,si,no
45155A00200015,6761,00015,si,no
45155A00200016,27008,00016,si,no
45155A00200017,26603,00017,si,no
45155A00200018,24529,00018,si,no
45155A00200021,5709,00021,si,no
45155A00200022,4622,00022,si,no
45155A00200023,33226,00023,si,no
45155A00200024,13911,00024,si,no
45155A00200025,13514,00025,si,no
45155A00200026,12020,00026,si,no
45155A00200027,65158,00027,si,no
45155A00200028,46161,00028,si,no
45155A00200029,71378,00029,si,no
45155A00200030,86031,00030,si,no
45155A00200041,30756,00041,si,no
45155A00200047,65980,00047,si,no
45155A00200066,3841,00066,si,no
45155A00200067,18754,00067,si,no
45155A00200077,41059,00077,si,no
45155A00200078,27676,00078,si,no
45155A00200079,22382,00079,si,no
45155A00200080,36473,00080,si,no
45155A00200081,28093,00081,si,no
45155A00200082,39832,00082,si,no
45155A00200083,33106,00083,si,no
45155A00200084,17223,00084,si,no
45155A00200085,12105,00085,si,no
45155A00200086,6704,00086,si,no
45155A00200087,5162,00087,si,no
45155A00200088,81889,00088,si,no
45155A00300001,201042,00001,si,no
45155A00300003,192456,00003,si,no
45155A00300004,140515,00004,si,no
45155A00300005,165047,00005,si,no
45155A00300006,41598,00006,si,no
45155A00300009,383929,00009,si,no
45155A00300010,128423,00010,si,no
45155A00300013,7564,00013,si,no
45155A00300019,652,00019,si,no
45155A00300020,665,00020,si,no
45155A00300024,41443,00024,si,no
45155A00300025,96159,00025,si,no
45155A00300028,714,00028,si,no
45155A00300029,10908,00029,si,no
45155A00300030,69468,00030,si,no
45155A00300031,11279,00031,si,no
45155A00300032,60305,00032,si,no
45155A00300034,11860,00034,si,no
45155A00300035,7243,00035,si,no
45155A00300036,6636,00036,si,no
45155A00300037,5368,00037,si,no
45155A00300038,12878,00038,si,no
45155A00300040,191736,00040,si,no
45155A00300042,56267,00042,si,no
45155A00300044,6030,00044,si,no
45155A00300045,3364,00045,si,no
45155A00300046,12071,00046,si,no
45155A00300047,25767,00047,si,no
45155A00300048,6651,00048,si,no
45155A00300049,3221,00049,si,no
45155A00300050,2718,00050,si,no
45155A00300051,15217,00051,si,no
45155A00300052,15962,00052,si,no
45155A00300053,3796,00053,si,no
45155A00300054,4588,00054,si,no
45155A00300055,19023,00055,si,no
45155A00300058,21714,00058,si,no
45155A00300059,17823,00059,si,no
45155A00300060,20186,00060,si,no
45155A00300061,11129,00061,si,no
45155A00300062,6803,00062,si,no
45155A00300066,149944,00066,si,no
45155A00300067,63934,00067,si,no
45155A00300069,60370,00069,si,no
45155A00300070,3795,00070,si,no
45155A00300071,7009,00071,si,no
45155A00300072,59505,00072,si,no
45155A00300073,81576,00073,si,no
45155A00300074,6301,00074,si,no
45155A00300075,3895,00075,si,no
45155A00300078,155032,00078,si,no
45155A00300079,20334,00079,si,no
45155A00300080,34029,00080,si,no
45155A00300082,115732,00082,si,no
45155A00300083,10736,00083,si,no
45155A00300084,9523,00084,si,no
45155A00300085,5930,00085,si,no
45155A00300086,6202,00086,si,no
45155A00300087,7935,00087,si,no
45155A00300088,5157,00088,si,no
45155A00300089,4581,00089,si,no
45155A00300090,2629,00090,si,no
45155A00300091,5685,00091,si,no
45155A00300092,51625,00092,si,no
45155A00300093,11362,00093,si,no
45155A00300095,37585,00095,si,no
45155A00300096,12784,00096,si,no
45155A00300098,5621,00098,si,no
45155A00300100,8790,00100,si,no
45155A00300102,4438,00102,si,no
45155A00300103,5850,00103,si,no
45155A00300105,5901,00105,si,no
45155A00300106,4143,00106,si,no
45155A00300107,19209,00107,si,no
45155A00300109,15123,00109,si,no
45155A00300112,2906,00112,si,no
45155A00300114,29762,00114,si,no
45155A00300118,6384,00118,si,no
45155A00300119,10131,00119,si,no
45155A00300120,4940,00120,si,no
45155A00300121,3404,00121,si,no
45155A00300122,5974,00122,si,no
45155A00300123,3724,00123,si,no
45155A00300124,918,00124,si,no
45155A00300128,1492,00128,si,no
45155A00300129,1709,00129,si,no
45155A00300130,648,00130,si,no
45155A00300131,1446,00131,si,no
45155A00300132,1399,00132,si,no
45155A00300133,1343,00133,si,no
45155A00300134,1464,00134,si,no
45155A00300135,2333,00135,si,no
45155A00300136,759,00136,si,no
45155A00300137,523,00137,si,no
45155A00300138,11794,00138,si,no
45155A00300140,1158,00140,si,no
45155A00300144,9724,00144,si,no
45155A00300146,9535,00146,si,no
45155A00300147,2142,00147,si,no
45155A00300148,2577,00148,si,no
45155A00300149,2568,00149,si,no
45155A00300150,3514,00150,si,no
45155A00300152,146674,00152,si,no
45155A00300153,128934,00153,si,no
45155A00300155,4400,00155,si,no
45155A00300156,5514,00156,si,no
45155A00300158,100751,00158,si,no
45155A00300159,14147,00159,si,no
45155A00300160,32630,00160,si,no
45155A00300161,36210,00161,si,no
45155A00300164,5490,00164,si,no
45155A00300165,5816,00165,si,no
45155A00300166,2177,00166,si,no
45155A00300167,15415,00167,si,no
45155A00300168,13505,00168,si,no
45155A00300169,6897,00169,si,no
45155A00300170,10253,00170,si,no
45155A00300171,8706,00171,si,no
45155A00300172,8383,00172,si,no
45155A00300177,3038,00177,si,no
45155A00300178,2112417,00178,si,no
45155A00300180,29295,00180,si,no
45155A00300181,274694,00181,si,no
45155A00300182,120000,00182,si,no
45155A00300184,97309,00184,si,no
45155A00300185,121527,00185,si,no
45155A00310026,54804,10026,si,no
45155A00310056,9777,10056,si,no
45155A00310057,7923,10057,si,no
45155A00310065,1395,10065,si,no
45155A00320026,124898,20026,si,no
45155A00320056,163813,20056,si,no
45155A00320057,116848,20057,si,no
45155A00320065,57891,20065,si,no
45155A00330057,673,30057,si,no
45155A00400001,88356,00001,si,no
45155A00400002,42536,00002,si,no
45155A00400003,79836,00003,si,no
45155A00400004,29915,00004,si,no
45155A00400005,29044,00005,si,no
45155A00400006,29771,00006,si,no
45155A00400007,28034,00007,si,no
45155A00400008,24329,00008,si,no
45155A00400009,23834,00009,si,no
45155A00400010,24679,00010,si,no
45155A00400011,102292,00011,si,no
45155A00400012,48529,00012,si,no
45155A00400013,16879,00013,si,no
45155A00400014,50811,00014,si,no
45155A00400015,24625,00015,si,no
45155A00400016,25171,00016,si,no
45155A00400017,27587,00017,si,no
45155A00400018,57249,00018,si,no
45155A00400019,11638,00019,si,no
45155A00400020,20999,00020,si,no
45155A00400022,3823342,00022,si,no
45155A00400024,26658,00024,si,no
45155A00400025,4542,00025,si,no
45155A00400026,10688,00026,si,no
45155A00400027,3782,00027,si,no
45155A00400028,4788,00028,si,no
45155A00400029,4415,00029,si,no
45155A00400030,11157,00030,si,no
45155A00400031,4746,00031,si,no
45155A00400032,20353,00032,si,no
45155A00410021,1232584,10021,si,no
45155A00420021,656539,20021,si,no
45155A00500002,1188,00002,si,no
45155A00500003,968,00003,si,no
45155A00500004,1448,00004,si,no
45155A00500005,7806,00005,si,no
45155A00500006,678,00006,si,no
45155A00500007,1817,00007,si,no
45155A00500008,1445,00008,si,no
45155A00500009,1407,00009,si,no
45155A00500010,1219,00010,si,no
45155A00500011,13231,00011,si,no
45155A00500013,5333,00013,si,no
45155A00500015,7196,00015,si,no
45155A00500016,14050,00016,si,no
45155A00500017,24123,00017,si,no
45155A00500018,15999,00018,si,no
45155A00500019,8286,00019,si,no
45155A00500020,3442,00020,si,no
45155A00500021,4409,00021,si,no
45155A00500022,4520,00022,si,no
45155A00500023,18959,00023,si,no
45155A00500024,10746,00024,si,no
45155A00500043,6579,00043,si,no
45155A00500044,1184,00044,si,no
45155A00500045,1124,00045,si,no
45155A00500049,8497,00049,si,no
45155A00500051,1804,00051,si,no
45155A00500053,17268,00053,si,no
45155A00500054,20589,00054,si,no
45155A00500057,2346,00057,si,no
45155A00500059,1544,00059,si,no
45155A00500060,838,00060,si,no
45155A00500061,1058,00061,si,no
45155A00500062,894,00062,si,no
45155A00500063,756,00063,si,no
45155A00500064,843,00064,si,no
45155A00500065,1086,00065,si,no
45155A00500066,17526,00066,si,no
45155A00500067,5214,00067,si,no
45155A00500068,30013,00068,si,no
45155A00500069,9794,00069,si,no
45155A00500070,8386,00070,si,no
45155A00500071,4883,00071,si,no
45155A00500072,3644,00072,si,no
45155A00500075,5112,00075,si,no
45155A00500076,3528,00076,si,no
45155A00500077,3512,00077,si,no
45155A00500078,4346,00078,si,no
45155A00500079,4518,00079,si,no
45155A00500080,604,00080,si,no
45155A00500081,1744,00081,si,no
45155A00500083,8352,00083,si,no
45155A00500084,828,00084,si,no
45155A00500085,792,00085,si,no
45155A00500086,659,00086,si,no
45155A00500087,5092,00087,si,no
45155A00500088,730,00088,si,no
45155A00500089,15426,00089,si,no
45155A00500090,1228,00090,si,no
45155A00500091,2103,00091,si,no
45155A00500093,1672,00093,si,no
45155A00500094,1666,00094,si,no
45155A00500095,2547,00095,si,no
45155A00500097,2536,00097,si,no
45155A00500101,4834,00101,si,no
45155A00500102,2164,00102,si,no
45155A00500109,9605,00109,si,no
45155A00500110,3549,00110,si,no
45155A00500111,3798,00111,si,no
45155A00500112,2231,00112,si,no
45155A00500113,582,00113,si,no
45155A00500114,2317,00114,si,no
