refcat,n_unidades,uso_dominante,es_mixta,valor_catastral_eur,valor_suelo_eur,valor_construccion_eur,cuota_ibi_eur,n_exentos,n_bonificados,habitantes_estimados,densidad_hab_por_unidad,via_referencia
2368621UK5326N,8,Residencial,1,178397.30,10656.37,167740.93,749.28,0,0,4.17,0.52,CL CAMINO 0008
2472636UK5327S,1,Comercial,0,29474.85,8371.75,21103.10,123.79,0,0,0.07,0.07,CJ OLIVILLA 0013
4624785UK5342S,1,Comercial,0,291797.37,178933.50,112863.87,1225.55,0,0,0,0,CL ISLA MALLORCA 0003
2470503UK5327S,4,Comercial,1,90023.60,18391.99,71631.61,378.11,0,0,0.5,0.13,CL CERVANTES 0002
2470806UK5327S,35,Almacén-estacionamiento. Uso Residencial,1,700324.63,35853.73,664470.90,2941.34,0,0,0.67,0.02,CL TAHONA 0004
2269402UK5326N,1,Cultural,0,75026.65,24804.02,50222.63,315.11,1,1,1,1,CL GRANADILLO 0005
2372652UK5327S,1,Ocio y Hostelería,0,64575.65,5065.97,59509.68,271.22,0,0,1.08,1.08,CL DR LOPEZ TIMONEDA 0006
2568543UK5326N,1,Ocio y Hostelería,0,126750.23,37226.86,89523.37,532.35,0,0,0.5,0.5,AV SERRANILLOS 0001
4617810UK5341N,1,Ocio y Hostelería,0,339001.85,99823.44,239178.41,1423.81,0,0,0,0,UR SERR PLAYA Z RECREATIVA 0001
4624721UK5342S,1,Ocio y Hostelería,0,66130.37,59574.22,6556.15,277.75,0,0,0.6,0.6,CL ISLA MALLORCA 0005
2670135UK5327S,1,Industrial,0,4465.60,2114.57,2351.03,18.76,0,0,0.2,0.2,CL ABAJO 0007
3118813UK5331N,1,Industrial,0,64445.49,20491.96,43953.53,270.67,0,0,2,2,UR SERR PLAYA S2 0001
4624756UK5342S,1,Industrial,0,734.95,351.23,383.72,3.09,1,0,0,0,CL MAR ALBORAN 0124
4624766UK5342S,1,Industrial,0,700.07,351.23,348.84,2.94,1,0,0.5,0.5,CL MAR ALBORAN 0009
2272501UK5327S,1,Industrial,0,27513.03,24658.65,2854.38,115.55,0,0,0,0,CR TALAVERA-SM VALDEIGLESIAS 0033
2266310UK5326N,1,Industrial,0,23611.64,15065.27,8546.37,99.17,0,0,1.2,1.2,CR SERRANILLOS 0022
2472619UK5327S,1,Industrial,0,1859.02,1706.53,152.49,7.81,0,0,0,0,CL VIRGEN DEL BUEN CAMINO 0045
2568530UK5326N,1,Industrial,0,32680.81,23014.75,9666.06,137.26,0,0,0,0,AV SERRANILLOS 0001
3741902UK5334S,1,Industrial,0,25146.83,4425.89,20720.94,105.62,0,0,0,0,UR SERR PLAYA S 6R 0079
2266316UK5326N,1,Industrial,0,4037.92,2653.97,1383.95,16.96,0,0,0,0,CR SERRANILLOS 0034
2568536UK5326N,1,Industrial,0,30747.37,16793.87,13953.50,129.14,0,0,0,0,CL IGLESIA 0017
4821307UK5342S,1,Industrial,0,19377.60,17099.47,2278.13,81.39,0,0,0,0,UR SERR PLAYA SD 0037
2271513UK5327S,1,Industrial,0,22857.18,21729.50,1127.68,96.00,0,0,0,0,CL DR LOPEZ TIMONEDA 0015
4334921UK5343S,1,Industrial,0,20673.53,16867.63,3805.90,86.83,0,0,0,0,UR SERR PLAYA S5 0321
2266335UK5326N,1,Industrial,0,361.64,105.35,256.29,1.52,1,0,0,0,CR SERRANILLOS 0006
2271808UK5327S,1,Industrial,0,971.49,288.06,683.43,4.08,1,0,0,0,CL REINA SOFIA 0000
2368687UK5326N,1,Industrial,0,9231.59,1030.35,8201.24,38.77,0,0,0.67,0.67,CL CAMINO 0012
2371206UK5327S,1,Industrial,0,2536.57,1967.04,569.53,10.65,0,0,0.4,0.4,CL REINA SOFIA 0011
2472617UK5327N,1,Industrial,0,1451.00,987.41,463.59,6.09,0,0,0.14,0.14,TR GILMO FRANCO 0001
2472616UK5327S,1,Industrial,0,7373.77,6989.33,384.44,30.97,0,0,0.6,0.6,TR GILMO FRANCO 0005
4447215UK5344N,1,Industrial,0,12239.09,10467.62,1771.47,51.40,0,0,0,0,UR SERR PLAYA S 7R 0451
2371208UK5327S,1,Industrial,0,4595.65,3442.35,1153.30,19.30,0,0,0,0,CL REINA SOFIA 0005
3252610UK5335S,1,Industrial,0,16942.93,14482.56,2460.37,71.16,0,0,0,0,UR SERR PLAYA S 6R 0134
4248610UK5344N,1,Industrial,0,18387.89,9276.83,9111.06,77.23,0,0,0,0,UR SERR PLAYA S 8R 0523
2471529UK5327S,1,Industrial,0,540.56,472.22,68.34,2.27,1,0,0,0,CL VIRGEN DEL BUEN CAMINO 0040
4558409UK5345N,1,Industrial,0,19430.81,10717.00,8713.81,81.61,0,0,0,0,UR SERR PLAYA S 8R 0488
3818409UK5331N,1,Industrial,0,8727.02,7176.99,1550.03,36.65,0,0,0.82,0.82,UR SERR PLAYA S1 0013
4056512UK5345N,1,Industrial,0,19715.11,13256.65,6458.46,82.80,0,0,0,0,UR SERR PLAYA S 8R 0331
2538102UK5323N,1,Industrial,0,85653.51,63689.55,21963.96,359.74,0,0,0,0,TN SECTOR 7 5111
2070706UK5327S,1,Industrial,0,8275.34,6919.87,1355.47,34.76,0,0,0.33,0.33,CR TALAVERA-SM VALDEIGLESIAS 0009
2370414UK5327S,1,Industrial,0,1270.35,934.33,336.02,5.34,1,0,2.5,2.5,CL CASTILLO 0012
3744712UK5334S,1,Industrial,0,1459.70,545.13,914.57,6.13,0,0,0,0,UR SERR PLAYA S 6R 0154
3727811UK5332N,1,Industrial,0,27248.00,17457.76,9790.24,114.44,0,0,0,0,UR SERR PLAYA S2 0278
2372627UK5327S,1,Industrial,0,10137.62,9484.10,653.52,42.58,0,0,0.03,0.03,CR TALAVERA-SM VALDEIGLESIAS 0022
2671108UK5327S,1,Industrial,0,23044.42,22067.11,977.31,96.79,0,0,0.03,0.03,CL VIÑAS LAS 0010
2670108UK5327S,1,Industrial,0,30834.96,8196.11,22638.85,129.51,0,0,0,0,CL HUERTAS 0012
3222425UK5332S,1,Industrial,0,17637.99,15136.59,2501.40,74.08,0,0,0,0,CL CABO DE SAN ROQUE 0205
2070703UK5327S,1,Industrial,0,5982.40,1721.16,4261.24,25.13,0,0,0,0,CR SAN MARTIN TALAVERA 0032
3828606UK5332N,1,Industrial,0,36537.22,13553.10,22984.12,153.46,0,0,0,0,UR SERR PLAYA S3 0181
4243118UK5344S,1,Industrial,0,26267.84,16257.83,10010.01,110.32,0,0,0,0,UR SERR PLAYA S5 0242
3252604UK5335S,1,Industrial,0,29340.20,14001.32,15338.88,123.23,0,0,0,0,UR SERR PLAYA S 6R 0128
4617811UK5341N,1,Industrial,0,10979.79,1898.20,9081.59,46.12,0,0,0,0,UR SERR PLAYA Z RECREATIVA 0001
4617821UK5341N,1,Industrial,0,5924.40,892.19,5032.21,24.88,0,0,0,0,UR SERR PLAYA Z RECREATIVA 0001
