refcat,refcat_parcela,municipio,sigla_via,via,planta,puerta,escalera,clase_bien,uso,clave_uso,valor_catastral_eur,valor_suelo_eur,valor_construccion_eur,base_liquidable_eur,tipo_impositivo,cuota_ibi_eur,exento,bonificado,tasa_basura_eur,tasa_basura_registros,tiene_padron_tasas
2368621UK5326N0002XT,2368621UK5326N,SAN ROMAN DE LOS MONTES,CL,CAMINO 0008,00,02,,UR,Comercial,C,25390.23,1768.96,23621.27,25390.23,0.42,106.64,N,,120.00,2,1
2472636UK5327S0001AY,2472636UK5327S,SAN ROMAN DE LOS MONTES,CJ,OLIVILLA 0013,OD,OS,T,UR,Comercial,C,29474.85,8371.75,21103.10,29474.85,0.42,123.79,N,,70.00,1,1
4624785UK5342S0001TZ,4624785UK5342S,SAN ROMAN DE LOS MONTES,CL,ISLA MALLORCA 0003,OD,OS,T,UR,Comercial,C,291797.37,178933.50,112863.87,291797.37,0.42,1225.55,N,,,0,0
2368621UK5326N0001ZR,2368621UK5326N,SAN ROMAN DE LOS MONTES,CL,CAMINO 0008,00,01,,UR,Comercial,C,30861.83,1858.49,29003.34,30861.83,0.42,129.62,N,,70.00,1,1
2470503UK5327S0002SU,2470503UK5327S,SAN ROMAN DE LOS MONTES,CL,CERVANTES 0002,00,02,1,UR,Comercial,C,24870.66,4458.66,20412.00,24870.66,0.42,104.46,N,,,0,0
2470503UK5327S0002SU,2470503UK5327S,SAN ROMAN DE LOS MONTES,CL,CERVANTES 0002,00,02,1,UR,Comercial,C,24870.66,4458.66,20412.00,24870.66,0.42,104.46,N,,,0,0
2470806UK5327S0001RY,2470806UK5327S,SAN ROMAN DE LOS MONTES,CL,TAHONA 0004,00,01,,UR,Comercial,C,230834.45,9733.18,221101.27,230834.45,0.42,969.50,N,,,0,0
2269402UK5326N0001QR,2269402UK5326N,SAN ROMAN DE LOS MONTES,CL,GRANADILLO 0005,OD,OS,T,UR,Cultural,E,75026.65,24804.02,50222.63,75026.65,0.42,315.11,S,100%,,0,0
2372652UK5327S0001JY,2372652UK5327S,SAN ROMAN DE LOS MONTES,CL,DR LOPEZ TIMONEDA 0006,OD,OS,T,UR,Ocio y Hostelería,G,64575.65,5065.97,59509.68,64575.65,0.42,271.22,N,,,0,0
2568543UK5326N0001UR,2568543UK5326N,SAN ROMAN DE LOS MONTES,AV,SERRANILLOS 0001,OD,OS,T,UR,Ocio y Hostelería,G,126750.23,37226.86,89523.37,126750.23,0.42,532.35,N,,70.00,1,1
